,img_pos,texts
0,0,"['A man with a red helmet on a small moped on a dirt road. ', 'Man riding a motor bike on a dirt road on the countryside.', 'A man riding on the back of a motorcycle.', 'A dirt path with a young person on a motor bike rests to the foreground of a verdant area with a bridge and a background of cloud-wreathed mountains. ', 'A man in a red shirt and a red hat is on a motorcycle on a hill side.']"
1,5,"['A young girl inhales with the intent of blowing out a candle. ', 'A young girl is preparing to blow out her candle.', 'A kid is to blow out the single candle in a bowl of birthday goodness. ', 'Girl blowing out the candle on an ice-cream ', 'A little girl is getting ready to blow out a candle on a small dessert.']"
2,10,"['A man on a bicycle riding next to a train', 'A person is riding a bicycle but there is a train in the background.', 'a red and white train and a man riding a bicycle', 'a guy that is riding his bike next to a train', 'A man riding a bike past a train traveling along tracks.']"
3,15,"['A kitchen is shown with a variety of items on the counters.', 'A kitchen has the windows open and plaid curtains.', 'A kitchen with two windows and two metal sinks.', 'An older kitchen with cluttered counter tops but empty sink.', 'Glasses and bottles are placed near a kitchen sink.']"
4,20,"['A wooden ball on top of a wooden stick.', 'The table is full of wooden spoons and utensils.', 'A wood table holding an assortment of wood cooking utensils.', 'A selection of wooden kitchen tools on a counter.', 'Wooden spoons are lined up on a table']"
5,25,"['Multiple wooden spoons are shown on a table top.', 'A table surrounded by chairs and filled with cooking utensils.', 'Wooden spoons laid out across a kitchen table.', 'Wooden spoons and forks are all over a table.', 'A table and chairs with wooden kitchen tools on top.']"
6,30,"['A bathroom that has a broken wall in the shower.', 'A bathroom looks clean but is missing tile at the shower stall.', 'A view of a bathroom that needs to be fixed up.', 'a shower toilet and sink in a basement bathroom', 'A very big whit rest room with a shabby looking shower.']"
7,35,"['A bathroom with an enclosed shower next to a sink and a toilet.', 'A clean, spacious bathroom with a large shower stall.', 'There are a toilet, a sink, and a shower stall in a large bathroom.', 'A bathroom featuring a walk in shower, mirror, sink and toilet.', 'Bathroom with a shower, sink, and toilet in it. ']"
8,40,"['people on bicycles ride down a busy street ', 'A group of people are riding bikes down the street in a bike lane', 'bike riders passing Burger King in city street', 'A group of bicyclists are riding in the bike lane.', 'Bicyclists on a city street, most not using the bike lane']"
9,45,"['The bathroom is clean and ready to be used. ', 'a small bathroom with a sink and a toilet.', 'A toilet, sink and mirror in the bathroom', 'Doorway view into bathroom with a sink and toilet.', 'A white toilet sitting next to a sink.']"
